code_culture;libelle_culture;categorie_surf_agricole;categorie_ecoregime;num_chapitre;nom_chapitre
FVL;Féverole d'hiver;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
FVP;Féverole de printemps;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
GES;Cornille, dolique (y/c lablab), gesse;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
GRA;Graminée pure exclusivement pour gazon ou pour production de semences certifiées;TA;TA – Prairies temporaires et jachères;1.5;SURFACES HERBACÉES TEMPORAIRES ET MÉLANGES AVEC GRAMINÉES
HBL;Houblon;CP;CP gérée comme une TA – Autres cultures;1.7;CULTURES INDUSTRIELLES ET PLANTES SARCLÉES
HPC;Horticulture ornementale;TA;TA – Autres cultures;1.10;PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES ET PLANTES ORNEMENTALES (HORS ESPÈCES ARBUSTISVES ET ARBORÉES)
JAC;Jachère (terre arable);TA;TA – Prairies temporaires et jachères;1.5;SURFACES HERBACÉES TEMPORAIRES ET MÉLANGES AVEC GRAMINÉES
JNO;Jachère sanitaire imposée par l'administration;TA;Non prise en compte;1.11;AUTRES SURFACES ADMISSIBLES SPÉCIFIQUES
LAV;Lavande et lavandin;CP;CP gérée comme une TA – Autres cultures;1.10;PLANTES À PARFUM, AROMATIQUES ET MÉDICINALES ET PLANTES ORNEMENTALES (HORS ESPÈCES ARBUSTISVES ET ARBORÉES)
LBF;Laitue, endive et autres salades;TA;TA – Autres cultures;1.8;LÉGUMES ET FRUITS (SAUF LÉGUMINEUSES) – ALIMENTATION HUMAINE OU ANIMALE
LDH;Lupin doux d'hiver;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
LDP;Lupin doux de printemps;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
LEC;Lentille;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
LIF;Lin fibres;TA;TA – Autres cultures;1.7;CULTURES INDUSTRIELLES ET PLANTES SARCLÉES
LIH;Lin non textile d'hiver;TA;TA – Autres cultures;1.2;OLÉAGINEUX
LIP;Lin non textile de printemps;TA;TA – Autres cultures;1.2;OLÉAGINEUX
LOT;Lotier, minette;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
LUZ;Luzerne;TA;TA – Protéagineux et légumineuses fourragères;1.3;LÉGUMINEUSES A GRAINES ET FOURRAGÈRES, Y COMPRIS MÉLANGES DE LÉGUMINEUSES PURES ET LÉGUMINEUSES CONSOMMÉES EN FRAIS DANS L’ALIMENTATION HUMAINE
MCR;Mélange de céréales ou pseudo-céréales d'hiver entre elles;TA;TA – Céréales d’hiver;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
MCS;Mélange de céréales ou pseudo-céréales de printemps entre elles;TA;TA – Céréales de printemps;1.1;CÉRÉALES ET PSEUDO-CÉRÉALES
